person_id,related_transaction_id,debt_transaction_id,transaction_datetime,transacton_type,quanity,emailed_recipient
14,40,45,2017-05-07,email,1093,ellessemohamed@gmail.com
35,19,26,2016-11-10,cash,3854,
30,25,37,2017-07-01,cash,1604,
17,13,22,2018-09-27,cash,2399,
12,16,33,2020-01-11,email,1082,emersonmolina@gmail.com
43,26,4,2019-04-05,credit,2856,
13,20,31,2018-05-20,credit,1056,
17,12,27,2019-12-15,email,2530,wasimcorona@gmail.com
32,43,4,2016-06-30,credit,3883,
27,4,2,2018-10-20,email,585,lillywainwright@gmail.com
44,1,45,2019-07-08,email,3060,hilarybright@gmail.com
37,26,25,2017-01-01,credit,2687,
40,9,2,2018-07-08,cash,2369,
13,42,5,2018-07-29,credit,3502,
22,3,13,2019-04-24,email,2124,falakbrady@gmail.com
40,30,43,2018-09-23,cash,2764,
20,3,14,2018-06-08,email,2153,alieshajames@gmail.com
7,33,44,2019-06-15,email,3682,indicisneros@gmail.com
20,42,42,2016-11-30,email,2017,markframe@gmail.com
25,13,20,2016-04-22,email,2111,tjdorsey@gmail.com
11,1,40,2018-09-01,credit,3447,
33,40,37,2018-11-13,credit,1341,
12,6,38,2018-12-09,credit,1276,
3,17,13,2018-03-06,credit,1293,
27,2,8,2019-11-28,email,1180,ellessemohamed@gmail.com
7,20,17,2018-11-06,credit,1726,
43,8,12,2018-06-09,cash,3530,
42,5,28,2016-05-17,cash,593,
38,24,27,2019-03-14,email,520,shayparra@gmail.com
32,32,41,2020-01-18,cash,1016,
37,27,15,2017-10-02,email,3852,millie-rosebonner@gmail.com
41,28,44,2019-07-16,cash,3628,
38,5,45,2020-02-02,cash,2672,
12,15,30,2019-10-22,credit,2364,
2,4,31,2016-11-14,email,3143,shayparra@gmail.com
26,16,42,2018-03-19,email,1311,macaulythorpe@gmail.com
45,7,36,2017-07-19,credit,2339,
14,6,40,2017-03-07,cash,2431,
32,45,27,2016-07-26,email,3699,zimaldonado@gmail.com
27,32,2,2019-03-21,cash,1595,
38,12,36,2016-09-10,email,2381,mairahughes@gmail.com
27,3,1,2019-01-18,cash,1766,
36,2,6,2019-09-15,email,1547,mairahughes@gmail.com
30,44,10,2018-09-29,email,2188,ashleighharvey@gmail.com
12,39,14,2019-05-24,email,1321,emersonmolina@gmail.com
