person_id,debt_transaction_id,transaction_id,transaction_datetime,transacton_type,quanity,emailed_recipient
14,40,1,2017-05-07,email,1093,ellessemohamed@gmail.com
35,19,2,2016-11-10,cash,3854,mathewbeltran@gmail.com
30,25,3,2017-07-01,cash,1604,ameliaoakley@gmail.com
17,13,4,2018-09-27,cash,2399,indicisneros@gmail.com
12,16,5,2020-01-11,email,1082,emersonmolina@gmail.com
43,26,6,2019-04-05,credit,2856,irenebloggs@gmail.com
13,20,7,2018-05-20,credit,1056,ailishcherry@gmail.com
17,12,8,2019-12-15,email,2530,wasimcorona@gmail.com
32,43,9,2016-06-30,credit,3883,alieshajames@gmail.com
27,4,10,2018-10-20,email,585,lillywainwright@gmail.com
44,1,11,2019-07-08,email,3060,hilarybright@gmail.com
37,26,12,2017-01-01,credit,2687,markframe@gmail.com
40,9,13,2018-07-08,cash,2369,caitlinmccarthy@gmail.com
13,42,14,2018-07-29,credit,3502,emersonmolina@gmail.com
22,3,15,2019-04-24,email,2124,falakbrady@gmail.com
40,30,16,2018-09-23,cash,2764,hilarybright@gmail.com
20,3,17,2018-06-08,email,2153,alieshajames@gmail.com
7,33,18,2019-06-15,email,3682,indicisneros@gmail.com
20,42,19,2016-11-30,email,2017,markframe@gmail.com
25,13,20,2016-04-22,email,2111,tjdorsey@gmail.com
11,1,21,2018-09-01,credit,3447,irenebloggs@gmail.com
33,40,22,2018-11-13,credit,1341,lemargibbons@gmail.com
12,6,23,2018-12-09,credit,1276,katharinewiley@gmail.com
3,17,24,2018-03-06,credit,1293,ameliaoakley@gmail.com
27,2,25,2019-11-28,email,1180,ellessemohamed@gmail.com
7,20,26,2018-11-06,credit,1726,izabeltomlinson@gmail.com
43,8,27,2018-06-09,cash,3530,silagriffiths@gmail.com
42,5,28,2016-05-17,cash,593,silagriffiths@gmail.com
38,24,29,2019-03-14,email,520,shayparra@gmail.com
32,32,30,2020-01-18,cash,1016,bellagrainger@gmail.com
37,27,31,2017-10-02,email,3852,millie-rosebonner@gmail.com
41,28,32,2019-07-16,cash,3628,kaylumhunt@gmail.com
38,5,33,2020-02-02,cash,2672,karlbond@gmail.com
12,15,34,2019-10-22,credit,2364,mathewbeltran@gmail.com
2,4,35,2016-11-14,email,3143,shayparra@gmail.com
26,16,36,2018-03-19,email,1311,macaulythorpe@gmail.com
45,7,37,2017-07-19,credit,2339,lillywainwright@gmail.com
14,6,38,2017-03-07,cash,2431,macaulythorpe@gmail.com
32,45,39,2016-07-26,email,3699,zimaldonado@gmail.com
27,32,40,2019-03-21,cash,1595,ruihuang@gmail.com
38,12,41,2016-09-10,email,2381,mairahughes@gmail.com
27,3,42,2019-01-18,cash,1766,ameliaoakley@gmail.com
36,2,43,2019-09-15,email,1547,mairahughes@gmail.com
30,44,44,2018-09-29,email,2188,ashleighharvey@gmail.com
12,39,45,2019-05-24,email,1321,emersonmolina@gmail.com
